City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,0.76,64,85,4.0,TF,1730243017
1,fada,7.25,4.0667,24.37,94,75,3.09,NG,1730243018
2,lubango,-14.9172,13.4925,16.92,63,0,0.51,AO,1730243019
3,pisco,-13.7,-76.2167,19.03,77,0,9.77,PE,1730243009
4,ushuaia,-54.8,-68.3,4.81,87,100,11.83,AR,1730242836
5,viedma,-40.8135,-62.9967,20.92,29,79,4.3,AR,1730242929
6,caleta de carquin,-11.0925,-77.6267,18.83,78,45,5.63,PE,1730243024
7,bilibino,68.0546,166.4372,-22.05,98,16,1.71,RU,1730243027
8,blackmans bay,-43.0167,147.3167,12.63,66,100,0.45,AU,1730243028
9,saudarkrokur,65.7461,-19.6394,2.54,98,99,4.44,IS,1730243029
10,edinburgh of the seven seas,-37.0676,-12.3116,13.97,75,8,8.68,SH,1730243030
11,puerto ayora,-0.7393,-90.3518,21.42,92,58,1.34,EC,1730242785
12,lazaro cardenas,17.9583,-102.2,28.53,74,1,2.61,MX,1730243033
13,namibe,-15.1961,12.1522,18.14,82,8,3.39,AO,1730243034
14,taroa,8.7058,171.2275,28.94,76,63,7.03,MH,1730243035
15,princeville,45.7668,-61.2985,3.51,75,100,2.57,CA,1730243036
16,lucknow,26.85,80.9167,22.99,88,4,1.03,IN,1730242803
17,thompson,55.7435,-97.8558,2.09,64,75,3.6,CA,1730243039
18,kayangel,8.0823,134.7173,28.62,77,100,4.23,PW,1730243040
19,kyren,51.6828,102.1408,1.11,97,99,0.59,RU,1730243041
20,gebeit,21.0667,36.3167,23.87,64,16,2.7,SD,1730243042
21,bela vista,-22.1089,-56.5211,29.21,48,70,0.49,BR,1730242891
22,san julian,21.0167,-102.1667,23.81,28,45,4.28,MX,1730243046
23,mayahi,13.9553,7.6712,27.7,15,88,4.3,NE,1730243047
24,yellowknife,62.456,-114.3525,-7.55,97,75,3.6,CA,1730242887
25,jamestown,42.097,-79.2353,20.57,63,0,5.66,US,1730242929
26,klaksvik,62.2266,-6.589,8.4,75,100,13.51,FO,1730243052
27,port mathurin,-19.6833,63.4167,22.99,82,8,5.09,MU,1730243054
28,jining,35.405,116.5814,13.53,71,100,1.97,CN,1730243055
29,badger,64.8,-147.5333,-4.05,77,100,3.6,US,1730243056
30,papatowai,-46.5619,169.4708,12.02,63,100,6.32,NZ,1730243057
31,salahonda,2.1019,-78.7217,26.04,82,92,6.09,CO,1730243058
32,port lincoln,-34.7333,135.8667,17.16,67,3,2.34,AU,1730243018
33,iskateley,67.6803,53.1512,0.81,86,100,5.42,RU,1730243061
34,flying fish cove,-10.4217,105.6791,24.82,88,40,3.6,CX,1730243062
35,aasiaat,68.7098,-52.8699,-17.86,85,33,4.65,GL,1730243063
36,san patricio,28.017,-97.5169,28.97,61,60,8.06,US,1730243064
37,puerto natales,-51.7236,-72.4875,6.25,93,75,5.14,CL,1730243066
38,borisoglebskiy,57.2586,39.1508,0.57,94,13,2.65,RU,1730243067
39,aral,40.5156,81.2636,9.93,35,0,2.73,CN,1730243068
40,west island,-12.1568,96.8225,25.99,83,75,4.12,CC,1730243069
41,ketchikan,55.3422,-131.6461,7.99,87,100,13.38,US,1730243071
42,bahia de kino,28.8333,-111.9333,25.39,41,1,6.39,MX,1730243072
43,waitangi,-43.9535,-176.5597,12.75,93,100,9.04,NZ,1730243073
44,wailua homesteads,22.0669,-159.378,27.44,80,40,7.72,US,1730243074
45,chonchi,-42.6128,-73.8092,14.21,72,100,2.29,CL,1730243075
46,xishan,27.6667,113.5,13.92,82,0,1.5,CN,1730243077
47,kzyltu,53.6364,72.3414,0.01,92,92,3.33,KZ,1730243078
48,adamstown,-25.066,-130.1015,21.34,70,27,2.79,PN,1730243079
49,mumford,5.2618,-0.759,25.51,86,66,1.5,GH,1730243080
